1.91	4.10
6.35	8.49
10.63	12.55
14.11	16.30
16.78	18.01
19.30	21.86
23.95	26.14
28.50	30.26
31.60	33.63
34.28	35.67
36.36	36.90
37.97	39.57
40.96	41.55
43.21	44.66
45.46	46.74
47.55	48.13
49.58	50.81
51.56	52.95
53.70	54.45
55.52	56.75
57.44	58.46
59.85	60.71
61.72	63.01
63.65	64.88
66.00	66.86
67.88	69.11
69.86	70.92
72.32	73.28
75.05	78.84
79.97	85.21
86.23	87.30
88.53	89.65
90.83	94.84
95.86	101.10
101.90	104.10
105.17	106.08
107.52	109.55
110.19	111.21
112.92	113.89
114.90	115.87
117.26	119.77
120.57	121.16
122.13	124.64
125.17	125.87
126.78	127.64
128.76	130.85
131.76	132.66
134.59	135.45
136.52	137.37
138.82	140.79
140.81	141.65
142.24	143.15
144.49	146.20
146.36	147.22
147.91	149.14
150.43	151.28
151.55	152.46
152.89	154.23
155.14	156.89
156.91	158.03
158.51	160.00
161.18	161.88
162.41	163.22
163.86	165.35
166.85	167.92
168.14	169.15
170.01	171.13
173.11	174.13
174.29	175.41
176.16	177.66
179.69	181.03
181.78	183.28
185.31	186.54
187.18	188.68
190.88	192.21
192.85	194.67
196.49	197.72
198.47	200.08
202.00	203.29
204.04	205.75
207.67	209.06
209.60	211.21
213.02	214.47
215.11	216.82
218.91	220.41
220.94	222.71
224.79	226.19
226.61	228.49
230.41	231.80
232.28	234.05
235.92	237.26
237.96	239.78
241.65	243.20
243.73	245.71
247.69	249.08
249.67	251.81
254.27	256.04
256.15	260.80
261.44	267.17
268.18	273.91
274.98	281.99
284.61	290.28
291.19	298.25
301.09	306.22
307.40	314.03
316.92	321.15
322.49	324.79
326.45	328.37
331.85	333.40
335.65	339.82
340.94	345.12
347.47	348.76
353.30	354.54
355.61	361.97
363.58	365.50
367.43	368.77
370.69	372.35
373.31	374.87
376.15	384.92
386.31	388.29
389.95	391.50
393.27	395.57
396.21	397.92
399.90	401.62
402.63	404.34
406.11	408.30
408.84	410.66
412.42	414.72
415.20	416.86
418.68	420.88
421.36	423.23
425.26	427.30
427.99	429.65
431.79	433.88
434.36	436.07
438.05	439.92
440.46	442.12
444.10	445.97
446.72	448.43
450.62	452.39
452.98	454.85
456.67	458.70
459.29	460.79
463.04	465.07
465.82	467.48
469.67	471.81
472.45	474.22
476.30	478.23
478.71	480.48
482.36	483.96
485.51	487.75
488.45	489.51
491.12	493.41
495.60	497.74
499.71	501.80
503.08	505.43
505.86	507.19
509.11	511.14
513.54	515.79
517.92	520.06
521.13	523.75
524.23	525.56
527.00	529.35
531.27	533.68
536.03	537.84
539.02	541.47
541.96	543.40
544.73	547.40
548.90	551.73
553.97	555.73
556.85	559.20
559.90	561.23
562.19	562.89
564.06	565.72
567.32	567.80
568.92	570.42
571.00	572.50
573.41	574.10
575.33	576.77
577.52	578.91
580.24	581.10
582.33	583.45
584.20	585.48
586.76	587.72
588.74	590.07
590.76	591.99
592.63	593.97
595.41	596.21
597.71	602.35
603.42	609.08
610.20	611.43
612.61	613.35
614.63	619.07
620.19	624.46
625.15	627.29
629.00	629.85
631.08	633.38
634.34	635.09
636.85	637.86
638.99	639.84
640.91	644.00
644.59	645.23
646.09	646.67
647.48	649.99
650.84	651.64
653.08	655.38
655.97	657.03
658.69	659.65
660.61	661.68
663.18	665.05
665.15	666.01
666.49	667.50
668.68	670.48
670.50	671.56
671.93	673.32
674.60	675.83
676.05	677.01
677.65	678.93
680.05	681.60
681.71	682.72
683.42	684.86
685.82	687.62
687.64	688.70
689.18	690.62
693.29	694.36
694.84	696.50
698.53	699.70
700.18	701.52
702.80	704.51
704.72	705.52
706.00	707.13
707.82	709.32
709.58	710.65
710.92	712.20
712.84	714.17
714.60	715.35
716.15	717.27
718.55	719.36
719.94	720.64
721.44	722.88
724.75	726.03
726.56	728.33
730.41	731.58
732.17	733.72
735.80	736.98
737.57	739.06
741.14	742.37
742.96	744.51
746.43	747.71
748.30	749.79
751.93	753.32
753.75	755.45
757.32	758.98
759.57	761.22
763.04	764.37
765.12	766.72
768.70	770.03
770.89	772.44
774.47	775.91
776.50	778.20
780.02	781.62
782.26	783.92
785.31	787.98
788.35	789.68
790.27	793.80
794.12	795.45
796.04	799.46
799.99	801.27
802.93	805.81
806.29	807.89
809.92	811.37
812.11	813.61
815.00	818.41
818.95	820.02
820.87	824.24
824.61	826.11
826.91	830.00
830.48	832.14
833.58	835.88
836.36	837.96
839.94	841.38
841.91	843.62
845.44	847.25
847.68	849.28
851.26	852.80
853.50	855.00
857.02	858.57
859.16	860.60
862.79	864.29
865.03	866.58
868.56	870.05
870.59	872.40
874.33	875.77
876.57	878.22
880.15	881.70
882.34	883.94
885.75	887.30
887.78	889.60
891.89	893.18
893.71	895.53
897.34	898.68
899.21	901.24
902.95	904.28
904.98	906.85
